tweets;1.kisi;2.kisi;3.kisi
"Haber Sörfü 36 | 5 Aralýk 2018 yayýnda!
Videonun tamamý için https://t.co/VLC9nGpCur
#spotify #maraþkatliamý #sarýyelekliler?
#habersörfü #küba #doktor #bolsonaro #ingiltere #alevi #ýrkçýlýk #akaryakýt #losangeles #ezhel #drake #müptezhel #godsplan #arianagrande #tecavüz https://t.co/NZcB2ODiCO";0;0;
"Ýngiltere Parlamentosu’nda Maraþ anmasý...
Videonun tamamý için https://t.co/VLC9nGpCur ya da hesaptaki baðlantý adresine týklayýnýz... #maraþ #alevi #maraþkatliamý #britanyaalevifederasyonu #ingiltere #azýnlýk #ýrkçýlýk #theguardian #anket #haber #güncel #habersörfü @habersorfu https://t.co/KjAlEAv6By";0;0;
"Küresel #Terörizm Endeks'ine göre geçen yýl terör saldýrýlarýnda hayatlarýný kaybedenler dünyada %27, Avrupa'da %75 azaldý. Ama aþýrý saðýn saldýrýlarý hem ABD, hem Kanada hem de Avrupa'da arttý. 4 yýlda 66 kiþiyi öldürdüler... #aþýrýsað #ýrkçýlýk
https://t.co/BG0CHO48yi";0;0;
"Bir araþtýrmaya göre filmler ve televizyon programlarý, çocuklarýn zihinlerinde bilim insanlarýnýn erkek ve beyaz olduðuna dair bir algý yaratýyor.  Medyada gözüken bilim insanlarýnýn %63'e yakýný erkek ve %71'den fazlasý beyaz.

#çaresivar #çarþamba #ayrýmcýlýk #kadýn #ýrkçýlýk https://t.co/DrtQOmv3S0";0;1;
Kanada'da Müslüman ve Yahudileri hedef alan nefret suçlarý geçen yýla göre yüzde 47 artmýþ. #ýrkçýlýk https://t.co/yJRHWDaIxH;0;1;
"#Ýngiltere’de The Guardian gazetesi için bin azýnlýk mensubu ile bin 797 beyaz arasýnda yapýlan anket, ülkedeki #ýrkçýlýk ile ilgili çarpýcý bilgileri ortaya koydu.

https://t.co/BQT3dFg691";0;0;
Irkçýlýðýn Psikolojisi https://t.co/dSEtY77vZc #evrim #irkçýlýk;0;0;
"#Avusturya'da Türk iþ yerine ýrkçý saldýrý.
Avusturya'nýn Vorarlberg bölgesine baðlý Bregenz kentinde bir Türk'ün iþ yerine ýrkçý saldýrý düzenlendi.
Camlarý kýrýp domuz biblolarý býraktýlar...

https://t.co/v8TTnrLiPg
#ýrkçýlýk #SebastianKurz #FPÖ #Racism #AvrupaBirliði https://t.co/eC82nGUxvk";0;1;
Yoksa Google arama algoritmalarý ýrkçýlýk mý yapýyorlar? Bilim insaný (science person)  görsel aramasý yaptýðýnýzda çýkan resimlerin büyük kýsmý beyaz, avrupai tipler. Ya da insanlar arama sonuçlarýnda beyazlara týkladýðýndan mý sonuçlar böyle oluyor? #yapayzeka #ýrkçýlýk;1;0;
Ýngiltere'de #Cemal'i döven 16 yaþýndaki Ýngiliz, annesi ile birlikte Ýngiltere'den kaçmýþ. Cemal'i #ýrkçýlýk tan dolayý deðil, aralarýndaki husumetten dolayý dövdüklerini savunmuþ. Dayýsý ailenin tehdit aldýðýný, ancak bir taraftar ordusunun onlarý koruduðunu söyledi. https://t.co/d8p1sq5gov;0;0;
"Yunanistan’da öðrencilerden ýrkçýlýk ve faþizme karþý eylem #faþizm #ýrkcýlýk
https://t.co/ca6ZGeZrLg https://t.co/PpJMNRDZHZ";1;1;
#Cemal saldýrýdan 3 hafta önce internetten okula, polise, eðitim bakanlýðýna yardým baþvurusunda bulunmuþ. #Ýngiltere #ýrkçýlýk https://t.co/LCaUX2vuHU;0;0;
#Atina'da ve #Selanik'te #ýrkçýlýk karþýtý #gösteri https://t.co/wFrCqC3Ikf;0;0;
"#Ýngiltere'de okulda zorbalýða uðrayan Suriyeli #Cemal, ilk defa okula gitti. Destekleyenler gösteri düzenledi. Toplanan yrd 130 bin sterline ulaþtý. Aile bu parayla baþka yere taþýnacakmýþ. #ýrkçýlýk
https://t.co/cfHEZ6jnUT";0;0;
"#Asya kökenli öðrencilere karþý #ýrkçýlýk. 
https://t.co/1tBX5Hpyyo";0;0;
"Ýng.'de okulda ýrkçýlýða maruz kalan #Suriyeli Cemal'e destek yaðmuru Toplanan baðýþ miktarý 100 bin sterlini geçti. Bir Ýngiliz milletvekili twitter'dan özür diledi. Bir spor salonu boks dersleri ve Ýrlanda'daki kulübüne ömür boyu üyelik önerdi. #ýrkçýlýk
https://t.co/fjB167OIaS";1;0;
Ýngiltere'de bir kolu sargýda olan Suriyeli çocuða ýrkçý saldýrý... #ingiltere #uk #ýrkçýlýk https://t.co/XPpGY8qc39;1;1;
"Ýngiltere'de 15 yaþýndaki #Suriyeli çocuða saldýran 16 yaþýndaki #Ýngiliz çocuk hakkýnda soruþturma baþlatýldý. Suriyeli 7 Ekim'de de baþkalarýnýn saldýrýsýna uðramýþ, kolu kýrýlmýþ. Ailesine baðýþ kampanyasý yürütülüyor. 50 bin sterlin toplandý. #ýrkçýlýk
https://t.co/Aj6nhYNjhg";0;0;
"#ýrkçýlýk #ýrkçý @umitozdag 
Tweeti atan kiþi bir profesör. #suriyeli https://t.co/pLUDHvSOO8";0;0;
"#ýrkçýlýk #ýrkçý @odatv 
Adam yahudi olsa ne olur, olmasa ne olur? https://t.co/8JgzSa71Hp";0;0;
"( #günaydýnnnnnnn video CHP'nin hazýrladýðý #kadirmýsýroðlu #vatanhai?ni?
Videosunun kýsaltýlmýþ halidir...
Bu arada #ýrkçýlýk yapmýyorum bu #þarlatanýn nasýl oluyorsa… https://t.co/JphVv7TjF9";0;1;
26. yýldönümünde Almanya'nýn Mölln Kentinde yapýlan ýrkçý saldýrýyý kýnýyoruz. #ýrkçýlýk #almanya #mölln;0;0;
"Dolce &amp; Gabbana'ya 'ýrkçýlýk' suçlamasý! https://t.co/71OiIc4tdI

#Dolce&amp;Gabbana #ýrkçýlýk #suçlama #çin";0;0;
"Mölln faciasý, ýrkçýlýðýn tarihte býraktýðý acý tablolardan biridir.”

#Mölln #ýrkçýlýk @myeneroglu

https://t.co/eBMvyOFQry https://t.co/GD2e4JcM3Q";0;0;
"???? #Hollanda'da ""çocuk bayramý"" adý altýnda #ýrkçýlýk!

Hollanda'nýn bazý kentlerinde düzenlenen festivallerde, Noel Baba'nýn yardýmcýlarýný temsili olarak canlandýran kiþilerin yüzleri tamamen siyaha boyanýyor.

https://t.co/nIm4nwnML0";1;1;
ibadethanelere ýrk ya da devlet bayraðý asmak islama aykýrýdýr. #kandil #islam #ýrkçýlýk;1;0;
"?? Bir Ay Önce Batý'da

Irkçýlýðýn arttýðý #Avrupa’da Müslüman ve Yahudilere saldýran neo-Nazi gruplara katýlan Yahudiler tepki çekiyor.

“#YahudiNazi”nin amacý antisemitik tehditleri bertaraf etmek mi; #ýrkçýlýk oklarýný tamamen Müslümanlara döndürmek mi? https://t.co/u8U8VC7muu";0;0;
#Avusturya’nýn baþkenti #Viyana’da 10 binin üzerinde hükümet karþýtý gösterici, aþýrý saðcý iktidarýn ýrkçý ve ayrýþtýrýcý politikalarýna tepki gösterdi. #asirisag #irkcilik https://t.co/pwnSPMl2I7;0;0;
@BurakSa82217773 @filfulan #ýrkçý #ýrkçýlýk flooduma da alacaðým seni. Cahil yobaz;0;1;
