tweets;1.kisi;2.kisi;3.kisi;total
gülperi dizisi 24 yeni bölüm fragmaný yayýnlandý gülperiye oðlu hasandan büyük þok gülperi dizisinin 24 yeni bölüm 1 fragmaný yayýnlandý gülperi yeni bölümde gülperi kadirin evlendiðini öðrenen öfkeden deliye dönen;0;0;0;0
haber channel günün özeti 11032019 pazartesi;0;0;0;0
bomba iddia acun ilýcalý tv8i sattý;0;0;0;0
kadýn olmak zor;1;1;1;1
ahmet kayanýn hayatý film oluyor;0;0;0;0
yeni stil halit ergenç;0;0;0;0
otur kalk þeymaya bakýyoruz þeyma subaþý instagramdaki görüntülenme sayýsý havasýný attý subaþýnýn haftalýk görüntülenme sayýsý 126 milyon;1;1;1;1
yasak elma dizisine sürpriz oyuncu þirin rolünü oynuyor fox tvnin sevilen dizisi yasak elmaya yeni bir oyuncu dahil oldu;0;0;0;0
kibariyeye haciz þoku;0;0;0;0
mart ayi radyo tur takvimi;0;0;0;0
naz eftheriadan sýnýrlarý zorlayan paylaþým;0;0;0;0
justin bieber dua istedi kaynak seda yeþilyurt;0;0;0;0
büyük aþk bitti mi oyuncu melisa þenolsun meslektaþý oyuncu mehmet ozan dolunay uzun süredir aþk yaþýyordu þenolsunun sosyal medya hesabýndan sevgilisiyle fotoðraflarýný silmesi çiftin ayrýldýklarý dedikodularýný beraberinde;0;0;0;0
özge özpirinççinin yeðeninin bakýcýsýnýn cezasý belli oldu kaynak posta seda yeþilyurt;1;1;1;1
neslihan yargýcý an kimseye imaj yapmam;1;1;1;1
gülben ergen müzisyen emre irmak aþký evliliðe gidiyor;1;1;1;1
bülent ersoydan hayvanseverleri kýzdýracak sözler;1;1;1;1
ebru gündeþ beraat etti kaynak hürriyet seda yeþilyurt;0;0;0;0
ünlü oyuncu selen soyder kaza sonucu yüzü tanýnmaz hale geldi;0;0;0;0
seher dilovan haticeyi aðýr sözler eleþtirdi kaynak haber türk seda yeþilyurt;0;0;0;0
burak özçivit eþi mazi sevgilileri detaylar magazin haberleri;0;0;0;0
mazi magazin açýldý ünlülerin mazileri son magazin haberleri dahasý detaylar magazin haberleri;0;0;0;0
son moda sunucusu müge üzel kimdir son moda programýnda dikkat çeken programýn güzel sunucusu survivordan tanýdýðýmýz müge uzel olmuþtu detaylar magazin haberleri;0;0;0;0
eski futbolcu emre aþýk eþi yaðmur aþýk arasýndaki gerilim hýzla büyüyor fuhuþtan sabýkasý var detaylar magazin haberleri;0;0;0;0
birliktelik yaþadýðý oyuncu sevgilisi burcu kýratlý dünya evine giren sinan akçýlýn geçmiþ mazisi detaylar magazin haberleri;0;0;0;0
çaðla þikel olay mazileri çaðla þýkel son zamanlarda ayda 200 bin lira kazandýðý haberleri gündeme gelmiþti detaylar magazin haberleri;0;0;0;0
gülben ergenin yeni sevgilisi geçtiðimiz eylül ayýnda burak törer birlikteliðini sonlandýran detaylar;0;0;0;0
neslihan yeldanýn 11 yýllýk evliliði mazi oldu detaylar;0;0;0;0
ünlü oyuncu çaðatay ulusoy 1 milyon tllik audisi yeni imajýyla görüntülendi;0;0;0;0
yerli barbie gülse birselden 40 okula 250þer kitaplýk kütüphane týklanabilir link profilde;0;0;0;0
jennifer lopez niþanlandý;0;0;0;0
yasak elmada beklenmeyen ayrýlýk;0;0;0;0
ünlü oyuncu sosyal medyadan duyurmuþtu 25 yýl hapsi istendi oyuncu özge özpirinçcinin iki yaþýndaki yeðeni abtye þiddet uyguladýðý öne sürülen bakýcýsý zurafo e hakkýnda yürütülen soruþturmada þüpheli hakkýnda;0;0;0;0
kürk giydiði hayvanseverlerden tepki gören eskiden çantamý taþýrdý havyanseverler ona tepki göstersin dedi;0;1;1;1
ahmet kural hakkýnda yeni bir skandal 10 aylýk hapis cezasý gündemde;0;0;0;0
beykoz kanlýcadaki yalýsý yüzünden mahkemelik olan þarkýcý ebru gündeþin davasýnda mahkeme kararýný verdi mahkeme gündeþin;0;0;0;0
ünlü oyuncu tanýnmaz halde;0;0;0;0
demet þenerden þok sözler 25 yýl psikolojik þiddet gördüm;0;1;1;1
muhteþem konser;0;0;0;0
doðum yapmýþtý kimse inanamadý;0;0;0;0
sevilen dizisi beklenmeyen bir ayrýlýk yaþanýyor dizinin kilit ismi gelecek bölümde senaryo gereði öldürülerek diziye veda edecek;1;0;0;0
nöbet 3 yeni bölüm tanýtýmý yayýnlandý güçlü oyuncu kadrosu etkileyici senaryosu dev prodüksiyonu beðeni toplayan nöbetin 3 bölüm tanýtýmý yayýnlandý hatayý türkiyeden ayýrma planlarý yapan jenniferýn ziya cevrana;1;0;0;0
þarkýcý haticenin podyumdaki kalça þovu þok etti;0;0;0;0
özel hayatýyla gündemden düþmeyen þarkýcý aþk hayatýna verdiði kýsa bir sürenin ardýndan müzisyen aþk yaþamaya baþladý;1;0;0;0
haticeden yok artýk dedirten kalça hareketi þarkýcý hatice sosyal medya hesabýndan yaptýðý paylaþýmlar kalçasý hakkýndaki yorumlarýyla adýndan sýkça söz ettirmeye devam ediyor hatice bir defilede;0;0;0;0
hande kazanova 1117 mart haftalik koc burcu yorumu;1;0;0;0
emre aþýk yaðmur aþýkýn sicilini ortaya serdi yaðmur aþýk eþi emre aþýka ihanet etti olayý takvim belgeledi eski futbolcu karýsýnýn sicilini ortaya serdi fuhuþ dolandýrýcýlýk uyuþturucu devamý týklayýnýz;1;1;1;1
erkan petekkaya vurgun dizisine böyle veda etti deniz çakýr erkan petekkayanýn baþrolü paylaþtýðý vurgun dizisinin final bölümü çekildi erkan petekkaya vurgun dizisine veda anýný instagramdan paylaþtý;1;1;1;1
çarpýþmada kadire cansýz þoku akþam ölecek çarpýþma 14 yeni bölüm fragmaný izle çarpýþma dizisinin 14 yeni bölümünden ilk fragman yayýnlandý çarpýþma yeni bölümde kadir zarif sandýðý babasý cansýza silah çekiyor veliise;0;1;1;1
haber channel günün özeti 10032019 pazar;0;0;0;0
yolanthe cabau alacaðý tazminatla þeyma subaþýný solladý;1;0;0;0
cem gösteri öncesi paylaþtý boncuðu kaptý;1;1;1;1
hazar ergüçlüden uzaylýlara selam;1;1;1;1
beren saat savaþmak yorucu;0;0;0;0
hamilelikte suyun gelmesi nasil anlasilir zar rahimin uzerin;1;1;1;1
rosanna arkle paylaþýmýyla gündem oldu;0;0;0;0
11 mart pazartesi gunluk aslan burcu yorumu;0;0;0;0
sosyal medyanýn diline düþtü seda yeþilyurt;0;0;0;0
güldür güldür show oyuncularýndan hayranlarýna büyük sürpriz show tvnin sevilen eðlence programý güldür güldür showun oyuncularý hayranlarýna büyük sürpriz yaptý;0;0;0;0
cem yýlmazýn londradaki 2019 yeni gösterisinde neler anlattý cem yýlmaz nusrete fena laf çaktý baþka kimlere gönderme yaptý acun tarkan nasreddin hoca hepsini anlattým gtgt;0;0;0;0
kýza dokunursan yanarsýn;0;0;0;0
acunu çileden çýkardý kaynak seda yeþilyurt;1;0;0;0
emina jahovic mustafa sandala komþu oluyor kaynak hürriyet seda yeþilyurt;1;1;1;1
ido tatlýses sevgilisini yasakladý kaynak sabah seda yeþilyurt;1;0;0;0
ünlü çift niþanlandi kaynak uçankuþ seda yeþilyurt;1;1;1;1
serenay sarýkayanýn dubai tatili son buldu;1;1;1;1
tuba büyüküstünden takipçisine ince ayar ünlü oyuncu tuba büyüküstünden elit olayým derken ezik olmayýn diyen takipçisine yanýt verdi büyüküstünün takipçisine ince ayarý hayranlarýndan beðeni topladý;0;0;0;0
emina javovic mustafa sandal komþu oluyor;0;0;0;0
nusret canta taþýrdý;0;0;0;0
selen görgüzel alkan kadýnlarý kýzdýracak;0;0;0;0
ömür gedik bülent ersoya cevabý yapýþtýrdý;0;0;0;0
eski futbolcu emre aþýk yaðmur aþýk arasýnda gerilim artýyor;1;1;1;1
filiz akýn gizem ulaþýlmazlýk var;1;0;0;0
emre aþýktan eþine aðýr suçlama;1;1;1;1
guldur guldur show oyuncularindan kendilerinin hayrani ailey;0;0;0;0
güzel þarkýcý gülben ergen emre irmak aþk yaþýyor geçen eylül ayýnda burak törerle olan birlikteliðini noktalayan gülben ergen bir süredir yalnýzdý þarkýcý yeni bir iliþkiye yelken açtý gülben ergenin bir süredir müzisyen;0;0;0;0
bülent ersoydan kürk eleþtirilerine gündem yaratacak yanýt ben aðrý daðýnýn zirvesinde oturuyorum aþaðýdan sinek výzýltýlarý geliyor iþte ersoyun olay yaratacak açýklamalarý;0;0;0;0
pazar demek güzel bir kahvaltý sonrasý bol köpüklü kahve dedikodu demek kahveler sizden dedikodular bizden hadi yakýn bayiiye git kýrmýzý magazin al dedikodulardan geri kalma;0;0;0;0
karlarýn üzerinde siyah mayosuyla dikkat çekti;0;0;0;0
gülben ergeni yeni sevgilisi emre irmak kimdir serveti kadar;0;0;0;0
yasemin þefkatlinin hevesi kursaðýnda kaldý;1;1;1;1
yýn linkte;0;0;0;0
herkesin gözü beren saatte yeni paylaþým sosyal medya paylaþýmlarý nedeniyle kenan doðulu boþanacaðý konuþulan beren saat yeni bir instagram paylaþýmý yaptý;0;0;0;0
etrafýmýzý lokmacýlar sardý dönem dönem iþ fikirleri ortaya çýkýyor adeta moda haline geliyor piyasada iþi yapmayan kalmýyor yeni olayýmýz lokmacý açmak bir dönem çið köfte yükseliþteydi adým baþý çið;0;0;0;0
ankarayý salladý sertab erener önceki akþam ankaralý hayranlarýyla buluþtu ünlü popçu kerki solfejin düzenlediði konserde hayranlarýna müzik ziyafeti sundu devamý týklayýnýz;0;0;0;0
sekinin zor gecesi þarkýcý deniz seki önceki gece arnavutköydeki whisper adlý mekandan çýkarken objektife yansýdý ayakta durmakta zorlanan sekiye aracýna kadar þoförü yardýmcý oldu bir ara sendeleyen þarkýcý düþmekten devamý;0;0;0;0
kilyosa giderken objektiflere makyajsýz yakalandý aracýlýðýyla;0;0;0;0
ikizler herkes onlari konuþuyor;0;0;0;0
oyuncu ulaþ tuna astepenin kitaplara olan ilgisini bilen hayranlarý adýna kütüphane açtýrdý sen anlat karadeniz dizisinin baþrol oyuncusu ulaþ tuna astepeye karsta yaþayan hayranlarý anlamlý bir sürpriz yaptýdevamý;0;0;0;0
ünlülerin dudak uçuklatan reklam gelirleri;0;0;0;0
simge saðýn gündem oldu;0;0;0;0
bir aile hikayesi konusu oyuncularý yapýmcýlýðýný medyapimýn üstlendiði yönetmen koltuðunda merve girginin oturduðu senaryosunu deniz madanoðlunun kaleme aldýðý amerikanýn 1 numaralý drama serisi this is;1;1;1;1
oyuncular grevde tdo haber haber magazin spor bildiðiniz gerçekçikleri unutun unutmadan önce bir kenara not edin taraftar deðil haberciyiz;0;0;0;0
ankarada yaþayan ruslar panora avmde meslenista bayramýný kutlayacak;1;1;1;1
hadi magazin sizce gerekli bir yarýþma;0;0;0;0
nurgül yeþilçay sonunda beklenen teklifi aldý yapýmcý necati kocabay iki yýllýk aþký adým adým evliliðe giden nurgül yeþilçay sonunda beklenen teklifi aldýdevamý týklayýnýz;0;0;0;0
yayýnlanan dizisinde gündüz karakterini canlandýran hesabý üzerinden kendisinden para isteyenlere sitem etti;1;0;0;0
þarkýcý bengünün kýzýnýn ismi belli oldu;0;0;0;0
þarkýcý kýzýnýn ismi belli oldu bengü kýzlarýnýn adýný zeynep koymayý düþündüklerini söyledi;0;0;0;0
deniz akkaya yeni çekiminden pozlar paylaþtý;0;0;0;0
murat bozun uçtuðu uçakta pilotun adýda murat boz olunca ünlü þarkýcý böyle þaþýrdý atatürk havalimaný dýþ hatlar;1;1;1;1
hastalandýk sesimiz kýsýldý yine sizleri gerçeklerden mahrum býrakmak istemedik 15 bölümümüz karþýnýzdayýz týklayýn izleyin;0;0;0;0
kainat güzeli kalp krizinden öldü;0;0;0;0
yarýn show tvde pazar sürprizini kaçýrmayýn sürprizlerle dolu keyifli bir röportaj sizleri bekliyor;1;0;0;0
tv dizi izlerkensosyal medya dolasirkencayini icip kurabiyeni yerkenmuzik dinlerkenevinde isinde okulunda yerden calisabilecegin ek is firsati;0;0;0;0
ingiliz oyuncu charlotte kirkten bomba iliþki itirafý kaynak seda yeþilyurt;0;0;0;0
yolanthe cabau alacaðý tazminatla þeyma subaþýný solladý galatasarayýn eski futbolcusu wesley sneijder yollarýný ayýrma kararý aldýðý yolanthe cabauya yaklaþýk 120 milyon lira tazminat ödeyecek futbolcunun eþine ödeyeceði miktar;0;0;0;0
güven hoknanýn seçim sloganý olay oldu kaynak seda yeþilyurt;0;0;0;0
can bonomo yeni singleý bardak taþýyor sonrasý eskiþehirde muhteþem bir konser gerçekleþtirdi haberin detaylarý kýrmýzý magazinde;0;0;0;0
þebnem bozokludan platonik aþk itirafý kaynak hürriyet seda yeþilyurt;1;0;0;0
tuba büyüküstünden cevap geldi kaynak hürriyet seda yeþilyurt;0;0;0;0
beþiktaþta görüntülenen ebru gündeþ hamile olduðu iddialarýna yanýtý verdi hamilelik mi benim haberim yok böyle bir yok sizin haberiniz oluyor;0;0;0;0
sezen aksu yorgun düþtü koltukta uyuya kaldý ses sanatçýsý onur akay sezen aksunun stüdyoda bir koltukta uyurken çekilmiþ fotoðrafýný paylaþtý;0;0;0;0
elsa hosk sosyal medyada gündem oldu;0;0;0;0
þampiyon rüzgar sörfçüsü sonra koleksiyonuna girdi;0;0;0;0
haluk meltem 75612 boþanýyor olur dersiniz;0;0;0;0
hakko gerçek bir disiplin örneði sandal heyecanlýlarý 17 yýl sonra tekrar kurulan türkiye senkronize kayak milli takýmý nisanda amerikada yapýlacak þampiyonaya hazýrlanýyor takým iddialý ilk 10a kalmayalýmdevamý;0;1;1;1
türkan þoray kimdir kaç yaþýnda aslen nereli hayat hikayesi hdp diyarbakýr;0;0;0;0
ünlü isim konuþulacak açýklamar adama aþýk olmuþlar;0;0;0;0
gamze özçelikden yeni paylaþým hikayelerimiz farklý olsa hayallerimiz umutlarýmýz rengarenk bizim;0;0;0;0
meghan marklenin eski fotoðraflarý ingiliz medyasýný salladý meghan markle ayaðýndaki kemiði aldýrmýþ meghan marklenin eski fotoðraflarý ingiliz medyasýný salladý düþesin ayaðýndaki kemiði aldýrdýðý ortaya çýktý ameliyat izleri;1;1;1;1
selincigerci;1;1;1;1
köþe þmüzikdünyasý köþe yazisini okumak;0;0;0;0
zerrin özerden gaziantepte kadýnlar günü konseri gaziantep büyükþehir belediyesince düzenlenen 8 mart dünya kadýnlar günü konserinde sanatçý zerrin özer sevenleriyle bir araya geldi;0;0;0;0
bade iþçil beni bilen bilir bade iþçil önceki gün istinyeparktaydý bir röportajýnda fakire tipim müsait deðil diyen oyuncu konuya açýklýk getirdi iþçil beni tanýyanlar demek istediðimi iyi bilir dedi devamý týklayýnýz;0;0;0;0
oyunculuðu zirvede býrakan 17 ünlü isim;0;0;0;0
yapabilir ancak sadece gerçek farkedip düzeltirler;0;0;0;0
hande erçelden duygulandýran paylaþým seda yeþilyurt;0;0;0;0
nöbet dizisinin aþýklarý izleyicinin gönlünü fethetti türk askerinin amansýz mücadelesini konu alan nöbet dizisinin âþýklarý ilk bölümden itibaren dikkat çekti kerem þirin namýk selvi aþklarý þimdiden izleyicinin gönlünü;0;0;0;0
hüzün sarýsý yazýyortýrnak bakýmý haftanýn inoutlarý;0;0;0;0
samsunda duyulmayan kalmayacak;0;0;0;0
kiziyla evlenen damada 17 milyon tl ödül vereceðini açikladi;0;0;0;0
þeyma subaþýnýn ilginç paylaþýmlarý týkla izle;0;0;0;0
nusretten kadýnlara özel davet;0;0;0;0
dünyaca ünlü model 30 yaþýnda hayatýný kaybetti;0;0;0;0
mustafa denizliden önemli açýklamalar;0;0;0;0
þeyma subaþý teklif gelirse deðerlendirecek kaynak haber türk seda yeþilyurt;0;0;0;0
kuaförüm sensin yakýnda show tvde makasýna fýrçasýna güvenen kuaförler makyözler efsane saç modelleri harika makyajlarla eðlenceli çekiþmeli bir yarýþma kuaförüm sensin özge borakýn sunumuyla yakýnda show;1;1;1;1
demet akalýndan icra memurlarýna dava;0;0;0;0
